,Layout,Wing,Span,dV,AoA,Cx,Cy,Cz,dCx,dCy,dMz
89,1,0,0.25,-2,10.0,0.053871,0.97211,-0.12125,-0.0011610000000000023,-0.012420000000000098,-0.03497
90,1,0,0.25,-2,9.0,0.045619,0.89313,-0.089305,-0.0010730000000000045,-0.012619999999999965,-0.03540499999999999
91,1,0,0.25,-2,8.0,0.038205,0.8134899999999999,-0.058713999999999995,-0.0009840000000000057,-0.012829999999999897,-0.03581900000000001
92,1,0,0.25,-2,7.0,0.031642,0.73326,-0.029514999999999996,-0.0008910000000000029,-0.013020000000000032,-0.036201
93,1,0,0.25,-2,6.0,0.025943,0.65252,-0.0017417,-0.0007960000000000016,-0.013209999999999944,-0.0365573
94,1,0,0.25,-2,5.5,0.023421,0.6119899999999999,0.0116,-0.0007480000000000021,-0.013299999999999979,-0.036725
95,1,0,0.25,-2,5.0,0.021118,0.5713600000000001,0.024572,-0.0006990000000000017,-0.013390000000000124,-0.036885
96,1,0,0.25,-2,4.5,0.019036,0.53064,0.037172000000000004,-0.0006499999999999978,-0.013479999999999936,-0.037037860000000006
97,1,0,0.25,-2,4.0,0.017176,0.48983999999999994,0.049395999999999995,-0.0005999999999999998,-0.013559999999999905,-0.037183999999999995
98,1,0,0.25,-2,3.5,0.015537,0.44898000000000005,0.061241,-0.0005490000000000009,-0.013640000000000096,-0.037321999999999994
99,1,0,0.25,-2,3.0,0.014122,0.40807,0.07270399999999999,-0.0004989999999999994,-0.013729999999999964,-0.037453999999999994
100,1,0,0.25,-2,2.5,0.012929,0.36711,0.083781,-0.0004469999999999995,-0.013819999999999999,-0.037578
101,1,0,0.25,-2,2.0,0.01196,0.32611,0.094471,-0.0003949999999999995,-0.013890000000000013,-0.037695
102,1,0,0.25,-2,1.5,0.011214,0.28509,0.10477,-0.0003420000000000003,-0.013970000000000038,-0.037805000000000005
103,1,0,0.25,-2,1.0,0.010690999999999999,0.24405,0.11467000000000001,-0.0002889999999999993,-0.014039999999999997,-0.03790200000000002
104,1,0,0.25,-2,0.5,0.010392,0.20301,0.12418,-0.00023500000000000083,-0.014119999999999994,-0.037996
105,1,0,0.25,-2,0.0,0.010316,0.16197,0.1333,-0.0001810000000000006,-0.014190000000000008,-0.038091
106,1,0,0.25,-2,-0.5,0.010463,0.12095,0.14201,-0.00012700000000000038,-0.014259999999999995,-0.03816999999999998
107,1,0,0.25,-2,-1.0,0.010832,0.079961,0.15032,-7.200000000000088e-05,-0.014327999999999994,-0.03824000000000001
108,1,0,0.25,-2,-2.0,0.012232999999999999,-0.0019047,0.16573,4.000000000000184e-05,-0.014457300000000001,-0.038349999999999995
109,1,0,0.25,-2,-4.0,0.017662,-0.16485999999999998,0.19168,0.0002689999999999984,-0.014690000000000009,-0.038500000000000006
110,1,0,0.25,0,12.0,0.071491,1.1158,-0.22305999999999998,0.0,0.0,0.0
111,1,0,0.25,0,10.0,0.05271,0.9596899999999999,-0.15622,0.0,0.0,0.0
112,1,0,0.25,0,9.0,0.044545999999999995,0.88051,-0.12470999999999999,0.0,0.0,0.0
113,1,0,0.25,0,8.0,0.037221,0.80066,-0.094533,0.0,0.0,0.0
114,1,0,0.25,0,7.0,0.030751,0.72024,-0.065716,0.0,0.0,0.0
115,1,0,0.25,0,6.0,0.025147,0.63931,-0.038299,0.0,0.0,0.0
116,1,0,0.25,0,5.5,0.022673,0.5986899999999999,-0.025125,0.0,0.0,0.0
117,1,0,0.25,0,5.0,0.020419,0.55797,-0.012313,0.0,0.0,0.0
118,1,0,0.25,0,4.5,0.018386000000000003,0.5171600000000001,0.00013414,0.0,0.0,0.0
119,1,0,0.25,0,4.0,0.016576,0.47628000000000004,0.012212,0.0,0.0,0.0
120,1,0,0.25,0,3.5,0.014988,0.43533999999999995,0.023919,0.0,0.0,0.0
121,1,0,0.25,0,3.0,0.013623,0.39434,0.03525,0.0,0.0,0.0
122,1,0,0.25,0,2.5,0.012482,0.35329,0.046202999999999994,0.0,0.0,0.0
123,1,0,0.25,0,2.0,0.011565,0.31222,0.056776,0.0,0.0,0.0
124,1,0,0.25,0,1.5,0.010872,0.27111999999999997,0.066965,0.0,0.0,0.0
125,1,0,0.25,0,1.0,0.010402,0.23001,0.07676799999999999,0.0,0.0,0.0
126,1,0,0.25,0,0.5,0.010157,0.18889,0.086184,0.0,0.0,0.0
127,1,0,0.25,0,0.0,0.010135,0.14778,0.095209,0.0,0.0,0.0
128,1,0,0.25,0,-0.5,0.010336,0.10669000000000001,0.10384000000000002,0.0,0.0,0.0
129,1,0,0.25,0,-1.0,0.010759999999999999,0.06563300000000001,0.11208,0.0,0.0,0.0
130,1,0,0.25,0,-2.0,0.012273000000000001,-0.016362,0.12738,0.0,0.0,0.0
131,1,0,0.25,0,-4.0,0.017931,-0.17955,0.15317999999999998,0.0,0.0,0.0
132,1,0,0.25,2,12.0,0.07002699999999999,1.1006,-0.26524000000000003,0.001464000000000007,0.01519999999999988,0.04218000000000005
133,1,0,0.25,2,10.0,0.051486000000000004,0.94447,-0.19827999999999998,0.001223999999999996,0.0152199999999999,0.042059999999999986
134,1,0,0.25,2,9.0,0.043441,0.86529,-0.16666,0.0011049999999999949,0.015220000000000011,0.041950000000000015
