Layout, Wing, Span, dV, AOA, Cx, Cy, Mz
1, 0, 0.25, 6,   7.  ,    0.28436E-01,  0.67118    , -0.19956    
1, 0, 0.25, 6,   6.  ,    0.23224E-01,  0.59083    , -0.17029    
1, 0, 0.25, 6,   5.5 ,    0.20944E-01,  0.55050    , -0.15615    
1, 0, 0.25, 6,   5.  ,    0.18882E-01,  0.51009    , -0.14236    
1, 0, 0.25, 6,   4.5 ,    0.17039E-01,  0.46959    , -0.12891    
1, 0, 0.25, 6,   4.  ,    0.15417E-01,  0.42904    , -0.11581    
1, 0, 0.25, 6,   3.5 ,    0.14015E-01,  0.38842    , -0.10306    
1, 0, 0.25, 6,   3.  ,    0.12834E-01,  0.34776    , -0.90667E-01
1, 0, 0.25, 6,   2.5 ,    0.11875E-01,  0.30706    , -0.78632E-01
1, 0, 0.25, 6,   2.0 ,    0.11137E-01,  0.26633    , -0.66960E-01
1, 0, 0.25, 6,   1.5 ,    0.10622E-01,  0.22559    , -0.55652E-01
1, 0, 0.25, 6,   1.  ,    0.10328E-01,  0.18484    , -0.44711E-01
1, 0, 0.25, 6,   0.5 ,    0.10257E-01,  0.14409    , -0.34141E-01
1, 0, 0.25, 6,   0.0 ,    0.10406E-01,  0.10336    , -0.23944E-01
1, 0, 0.25, 6,  -0.5 ,    0.10777E-01,  0.62658E-01, -0.14123E-01
1, 0, 0.25, 6,   -1. ,    0.11367E-01,  0.21987E-01, -0.46782E-02
1, 0, 0.25, 6,  -2.0 ,    0.13207E-01, -0.59210E-01,  0.13070E-01
1, 0, 0.25, 6,  -4.0 ,    0.19489E-01, -0.22073    ,  0.43959E-01
1, 0, 0.25, 8,  12.  ,    0.65877E-01,   1.0456    , -0.41579    
1, 0, 0.25, 8,  10.  ,    0.48244E-01,  0.89104    , -0.34415    
1, 0, 0.25, 8,   9.  ,    0.40640E-01,  0.81268    , -0.31005    
1, 0, 0.25, 8,   8.  ,    0.33867E-01,  0.73371    , -0.27715    
1, 0, 0.25, 8,   7.  ,    0.27937E-01,  0.65420    , -0.24549    
1, 0, 0.25, 8,   6.  ,    0.22863E-01,  0.57424    , -0.21511    
1, 0, 0.25, 8,   5.5 ,    0.20649E-01,  0.53411    , -0.20041    
1, 0, 0.25, 8,   5.  ,    0.18653E-01,  0.49389    , -0.18605    
1, 0, 0.25, 8,   4.5 ,    0.16875E-01,  0.45360    , -0.17202    
1, 0, 0.25, 8,   4.  ,    0.15316E-01,  0.41325    , -0.15834    
1, 0, 0.25, 8,   3.5 ,    0.13977E-01,  0.37284    , -0.14500    
1, 0, 0.25, 8,   3.  ,    0.12857E-01,  0.33239    , -0.13202    
1, 0, 0.25, 8,   2.5 ,    0.11958E-01,  0.29190    , -0.11938    
1, 0, 0.25, 8,   2.0 ,    0.11280E-01,  0.25139    , -0.10710    
1, 0, 0.25, 8,   1.5 ,    0.10822E-01,  0.21087    , -0.95184E-01
1, 0, 0.25, 8,   1.  ,    0.10584E-01,  0.17034    , -0.83628E-01
1, 0, 0.25, 8,   0.5 ,    0.10567E-01,  0.12982    , -0.72437E-01
1, 0, 0.25, 8,   0.0 ,    0.10770E-01,  0.89311E-01, -0.61615E-01
1, 0, 0.25, 8,  -0.5 ,    0.11193E-01,  0.48833E-01, -0.51164E-01
1, 0, 0.25, 8,   -1. ,    0.11834E-01,  0.83915E-02, -0.41085E-01
1, 0, 0.25, 8,  -2.0 ,    0.13771E-01, -0.72338E-01, -0.22058E-01
1, 0, 0.25, 8,  -4.0 ,    0.20229E-01, -0.23291    ,  0.11426E-01
1, 0, 0.25, 10,  12.  ,    0.64845E-01,   1.0278    , -0.46539    
1, 0, 0.25, 10,  10.  ,    0.47507E-01,  0.87384    , -0.39184    
1, 0, 0.25, 10,   9.  ,    0.40046E-01,  0.79583    , -0.35673    
1, 0, 0.25, 10,   8.  ,    0.33411E-01,  0.71721    , -0.32279    
1, 0, 0.25, 10,   7.  ,    0.27616E-01,  0.63808    , -0.29006    
1, 0, 0.25, 10,   6.  ,    0.22672E-01,  0.55850    , -0.25858    
1, 0, 0.25, 10,   5.5 ,    0.20522E-01,  0.51856    , -0.24333    
1, 0, 0.25, 10,   5.  ,    0.18589E-01,  0.47855    , -0.22840    
1, 0, 0.25, 10,   4.5 ,    0.16872E-01,  0.43846    , -0.21380    
1, 0, 0.25, 10,   4.  ,    0.15373E-01,  0.39831    , -0.19954    
1, 0, 0.25, 10,   3.5 ,    0.14092E-01,  0.35811    , -0.18562    
1, 0, 0.25, 10,   3.  ,    0.13031E-01,  0.31787    , -0.17204    
1, 0, 0.25, 10,   2.5 ,    0.12188E-01,  0.27759    , -0.15881    
1, 0, 0.25, 10,   2.0 ,    0.11564E-01,  0.23730    , -0.14593    
1, 0, 0.25, 10,   1.5 ,    0.11160E-01,  0.19699    , -0.13340    
1, 0, 0.25, 10,   1.  ,    0.10975E-01,  0.15668    , -0.12123    
1, 0, 0.25, 10,   0.5 ,    0.11009E-01,  0.11639    , -0.10943    
1, 0, 0.25, 10,   0.0 ,    0.11262E-01,  0.76105E-01, -0.97984E-01
1, 0, 0.25, 10,  -0.5 ,    0.11733E-01,  0.35855E-01, -0.86908E-01
1, 0, 0.25, 10,   -1. ,    0.12421E-01, -0.43569E-02, -0.76201E-01
1, 0, 0.25, 10,  -2.0 ,    0.14447E-01, -0.84622E-01, -0.55905E-01
1, 0, 0.25, 10,  -4.0 ,    0.21067E-01, -0.24424    , -0.19847E-01
1, 0, 0.50, -10,  12.  ,    0.84332E-01,   1.2102    ,  0.55647E-01
1, 0, 0.50, -10,  10.  ,    0.64653E-01,   1.0603    ,  0.13182    
1, 0, 0.50, -10,   9.  ,    0.55947E-01,  0.98412    ,  0.16766    
1, 0, 0.50, -10,   8.  ,    0.48021E-01,  0.90719    ,  0.20192    
1, 0, 0.50, -10,   7.  ,    0.40893E-01,  0.82958    ,  0.23458    
1, 0, 0.50, -10,   6.  ,    0.34576E-01,  0.75140    ,  0.26558    
1, 0, 0.50, -10,   5.5 ,    0.31726E-01,  0.71210    ,  0.28045    
1, 0, 0.50, -10,   5.  ,    0.29084E-01,  0.67269    ,  0.29489    
